claim_id,expected_result,risk_score,violations,auto_approved,has_unapproved_items,requires_human_review
CLM-0001,REVIEW_REQUIRED,0.25,MISSING_RECEIPT,No,No,Yes
CLM-0002,APPROVED,0,None,Yes,No,No
CLM-0003,APPROVED,0,None,Yes,No,No
CLM-0004,APPROVED,0,None,Yes,No,No
CLM-0005,APPROVED,0,None,Yes,No,No
CLM-0006,APPROVED,0,None,Yes,No,No
CLM-0007,APPROVED,0,None,Yes,No,No
CLM-0008,APPROVED,0,None,Yes,No,No
CLM-0009,REVIEW_REQUIRED,0.25,MISSING_RECEIPT,No,No,Yes
CLM-0010,APPROVED,0,None,Yes,No,No
CLM-0011,APPROVED,0,None,Yes,No,No
CLM-0012,APPROVED,0,None,Yes,No,No
CLM-0013,APPROVED,0,None,Yes,No,No
CLM-0014,REVIEW_REQUIRED,0.25,MISSING_RECEIPT,No,No,Yes
CLM-0015,APPROVED,0,None,Yes,No,No
CLM-0016,REVIEW_REQUIRED,0.25,MISSING_RECEIPT,No,No,Yes
CLM-0017,APPROVED,0,None,Yes,No,No
CLM-0018,REVIEW_REQUIRED,0.25,MISSING_RECEIPT,No,No,Yes
CLM-0019,APPROVED,0,None,Yes,No,No
CLM-0020,APPROVED,0,None,Yes,No,No
CLM-0021,REVIEW_REQUIRED,0.25,MISSING_RECEIPT,No,No,Yes
CLM-0022,APPROVED,0,None,Yes,No,No
CLM-0023,APPROVED,0,None,Yes,No,No
CLM-0024,APPROVED,0,None,Yes,No,No
CLM-0025,APPROVED,0,None,Yes,No,No
CLM-0026,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0027,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0028,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0029,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0030,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0031,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0032,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0033,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0034,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0035,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0036,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0037,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0038,APPROVED,0,None,No,No,Yes
CLM-0039,APPROVED,0,None,No,No,Yes
CLM-0040,APPROVED,0,None,No,No,Yes
CLM-0041,APPROVED,0,None,No,No,Yes
CLM-0042,APPROVED,0,None,No,No,Yes
CLM-0043,APPROVED,0,None,No,No,Yes
CLM-0044,APPROVED,0,None,No,No,Yes
CLM-0045,APPROVED,0,None,No,No,Yes
CLM-0046,APPROVED,0,None,No,No,Yes
CLM-0047,APPROVED,0,None,No,No,Yes
CLM-0048,APPROVED,0,None,No,No,Yes
CLM-0049,APPROVED,0,None,No,No,Yes
CLM-0050,REJECTED_AUDIT,0.4,FLIGHT_LIMIT_EXCEEDED,No,No,Yes
CLM-0051,REJECTED_AUDIT,0.4,FLIGHT_LIMIT_EXCEEDED,No,No,Yes
CLM-0052,REJECTED_AUDIT,0.4,FLIGHT_LIMIT_EXCEEDED,No,No,Yes
CLM-0053,REJECTED_AUDIT,0.4,FLIGHT_LIMIT_EXCEEDED,No,No,Yes
CLM-0054,REJECTED_AUDIT,0.4,FLIGHT_LIMIT_EXCEEDED,No,No,Yes
CLM-0055,REJECTED_AUDIT,0.4,FLIGHT_LIMIT_EXCEEDED,No,No,Yes
CLM-0056,REJECTED_AUDIT,0.4,FLIGHT_LIMIT_EXCEEDED,No,No,Yes
CLM-0057,REJECTED_AUDIT,0.4,FLIGHT_LIMIT_EXCEEDED,No,No,Yes
CLM-0058,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0059,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0060,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0061,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0062,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0063,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0064,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0065,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0066,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0067,REJECTED_ITEM_NOT_APPROVED,0.5,UNAPPROVED_ITEMS,No,Yes,Yes
CLM-0068,APPROVED,0,None,No,No,Yes
CLM-0069,APPROVED,0,None,No,No,Yes
CLM-0070,APPROVED,0,None,No,No,Yes
CLM-0071,APPROVED,0,None,No,No,Yes
CLM-0072,APPROVED,0,None,No,No,Yes
CLM-0073,APPROVED,0,None,No,No,Yes
CLM-0074,APPROVED,0,None,No,No,Yes
CLM-0075,APPROVED,0,None,No,No,Yes
CLM-0076,APPROVED,0,None,No,No,Yes
